"HGNC_Symbol","hiPSC_Neuron","BloodmRNA","DISC1_RNA","gandalMicro","gandalRNAseq","hiPSC_NPC1","MtSinaiACC","MtSinaiDLPFC","MtSinaiMTA","MtSinaiTPA","Stanley","CommonMind_DLPFC","Deep_Neurons","Superficial_Neurons","Superficial_Deep_Neurons","Lewis_2017_L3","Lewis_2017_L5","Lewis_2015_L3","Lewis_2015_L5","barnesAll","barnesFemale","barnesMale","Iwamoto_BA10_SCZ","Iwamoto_BA46_SCZ","MaycoxAll","MaycoxFemale","MaycoxMale","PietersenAllParvalbumin","PietersenAllPyramidal","PietersenFemaleParvalbumin","PietersenFemalePyramidal","PietersenMaleParvalbumin","PietersenMalePyramidal"
"KLHL9","-0.13, p=0.04779","0.02, p=0.794","-0.02, p=0.89685","0.01, p=0.33239","0, p=0.98595","-0.05, p=0.45756","0.06, p=0.62359","-0.09, p=0.45039","-0.05, p=0.49789","0.07, p=0.46814","0.02, p=0.70634","-0.02, p=0.239","0.03, p=0.68793","0.03, p=0.69442","0.06, p=0.59093","-0.24, p=0.26045","-0.3, p=0.18543","-0.13, p=0.1709","-0.24, p=0.01276","0.09, p=0.68533","-0.05, p=0.54708","0.22, p=0.51292","-0.08, p=0.41891","-0.07, p=0.30001","-0.08, p=0.44319","-0.1, p=0.39435","-0.06, p=0.68647","0.04, p=0.36175","-0.34, p=0.37761","0.36, p=0.48967","-0.19, p=0.37804","-0.29, p=0.30471","-0.53, p=0.44797"
"TNFRSF21","0.57, p=0.04879","-1.2, p=0.00318","-2.08, p=0","-0.01, p=0.7333","0.02, p=0.37319","0.23, p=0.45071","-0.2, p=0.26964","-0.21, p=0.23041","-0.1, p=0.52983","-0.03, p=0.84991","0.02, p=0.57116","0, p=0.911","-0.15, p=0.04477","-0.16, p=0.04384","-0.32, p=0.00751","0.05, p=0.70331","0.39, p=0.00286","-0.02, p=0.82862","-0.1, p=0.26402","-0.17, p=0.31889","-0.12, p=0.65186","-0.23, p=0.25751","-0.14, p=0.4556","0.06, p=0.6144","0.05, p=0.61994","0, p=0.81681","0.05, p=0.66277","-0.79, p=0.27312","0.29, p=0.48753","-0.45, p=0.32626","-0.48, p=0.36064","-1.13, p=0.24614","1.25, p=0.188"
"ZDHHC6","-0.13, p=0.04977","0.15, p=0.522","-0.1, p=0.66964","-0.01, p=0.47881","-0.01, p=0.57534","-0.06, p=0.36792","0.1, p=0.35515","-0.09, p=0.37354","-0.25, p=0.0046","-0.09, p=0.16481","-0.02, p=0.53726","-0.01, p=0.4705","-0.06, p=0.55248","-0.05, p=0.5778","-0.11, p=0.43689","-0.26, p=0.19674","0.05, p=0.80158","0.07, p=0.67095","0.07, p=0.66896","-0.03, p=0.61092","-0.16, p=0.08083","0.08, p=0.3351",NA,"0.08, p=0.28192","0.03, p=0.42539","-0.03, p=0.70094","0.1, p=0.10161","-0.11, p=0.87905","0.11, p=0.86759","0.76, p=0.47647","-0.08, p=0.93385","-0.98, p=0.42831","0.34, p=0.73116"
"METRN","-0.31, p=0.05364","0.13, p=0.496","-0.81, p=0.01129","-0.03, p=0.10253","-0.04, p=0.12031","-0.28, p=0.08542","-0.56, p=0.03532","0.29, p=0.14254","0.33, p=0.18719","0.04, p=0.87765","0.06, p=0.01182","-0.04, p=0.05103","0.1, p=0.27899","0.1, p=0.3033","0.19, p=0.15508","0.04, p=0.60251","-0.06, p=0.47345","0.09, p=0.21434","-0.01, p=0.91219","-0.06, p=0.59676","0.06, p=0.58976","-0.15, p=0.61168",NA,"-0.1, p=0.39101","-0.04, p=0.78821","0.25, p=0.33845","-0.18, p=0.41829","-0.26, p=0.50143","0.26, p=0.44764","-0.29, p=0.70826","0.96, p=0.23555","-0.22, p=0.4739","-0.61, p=0.44789"
"THAP11","-0.15, p=0.05384","0.01, p=0.941","0.11, p=0.63041","-0.04, p=0.00192","-0.02, p=0.70503","0.04, p=0.61953","-0.12, p=0.28237","0.23, p=0.33959","-0.03, p=0.82935","-0.08, p=0.37631","-0.01, p=0.78443","-0.02, p=0.3197","0.03, p=0.75714","0.02, p=0.80303","0.05, p=0.70582","-0.05, p=0.75301","0, p=0.97793","-0.09, p=0.2981","-0.06, p=0.46996","-0.09, p=0.30574","-0.02, p=0.88867","-0.14, p=0.23228","0.16, p=0.2323","-0.08, p=0.28117","0.06, p=0.27992","0.09, p=0.25283","0.01, p=0.88483","0.14, p=0.81787","0.12, p=0.70596","0.21, p=0.62961","0.29, p=0.73972","0.06, p=0.78429","-0.09, p=0.56183"
"TCFL5","0.18, p=0.05387","-0.34, p=0.244","0.08, p=0.7567","0.02, p=0.50228","0, p=0.95574","0.05, p=0.6055","-0.1, p=0.52279","0.07, p=0.5987","0.15, p=0.33262","-0.05, p=0.66669","-0.02, p=0.65618","-0.01, p=0.6685","-0.07, p=0.36547","-0.06, p=0.42161","-0.13, p=0.24941","0.04, p=0.88853","-0.1, p=0.75479","-0.29, p=0.06989","-0.02, p=0.89954","-0.07, p=0.45012","0.21, p=0.14254","-0.3, p=0.171","-0.15, p=0.46858","-0.07, p=0.52642","0.02, p=0.2698","-0.03, p=0.58932","0.05, p=0.4532","0.16, p=0.84392","0.14, p=0.61043","0.66, p=0.53995","0.08, p=0.92367","-0.33, p=0.77849","0.21, p=0.52647"
"PLEKHJ1","-0.12, p=0.05517","-0.14, p=0.554","-0.38, p=0.07638",NA,"-0.09, p=0.00067","-0.03, p=0.6509","-0.15, p=0.19029","0.33, p=0.0513","0.17, p=0.09441","0.16, p=0.17858","0.01, p=0.90324","-0.01, p=0.6756",NA,NA,NA,"0.1, p=0.43088","-0.23, p=0.0872","-0.07, p=0.40259","-0.03, p=0.70478","0.01, p=0.89896","-0.08, p=0.40555","0.07, p=0.40377",NA,"-0.17, p=0.0106","-0.14, p=0.02039","-0.25, p=0.02858","-0.06, p=0.46545","0.1, p=0.86402","0.48, p=0.39235","0.12, p=0.89678","0.39, p=0.59323","0.08, p=0.92864","0.58, p=0.55371"
"LRRC41","-0.08, p=0.05949","0.76, p=6e-05","-0.36, p=0.07867","0, p=0.88338","-0.01, p=0.3374","-0.04, p=0.31794","-0.05, p=0.69066","-0.08, p=0.29751","-0.06, p=0.49086","-0.14, p=0.05172","0.02, p=0.38577","0, p=0.7963","0, p=0.97206","-0.01, p=0.86042","-0.01, p=0.92214","-0.41, p=0.01753","-0.11, p=0.5244","-0.22, p=0.08957","-0.2, p=0.11981","0.12, p=0.35078","0.11, p=0.41946","0.15, p=0.33176","-0.13, p=0.36517","0.09, p=0.33733","-0.05, p=0.55218","-0.17, p=0.31086","0, p=0.48608","-0.06, p=0.56368","-0.46, p=0.46337","-0.16, p=0.36081","-0.48, p=0.28349","0.04, p=0.70017","-0.42, p=0.62098"
"NET1","-0.52, p=0.05951","0.84, p=0","-0.31, p=0.27239","-0.05, p=0.27398","-0.03, p=0.64884","-0.05, p=0.8616","-0.05, p=0.82732","0.05, p=0.76307","-0.07, p=0.65617","-0.05, p=0.76317","0, p=0.97951","-0.01, p=0.6015","-0.03, p=0.76778","-0.04, p=0.70198","-0.06, p=0.64567","-0.48, p=0.09147","-0.21, p=0.47491","-0.09, p=0.46216","0, p=0.98353","-0.3, p=0.02543","-0.31, p=0.18329","-0.28, p=0.06436","1.04, p=0.05578","0, p=0.55687","-0.28, p=0.03127","-0.29, p=0.15099","-0.18, p=0.25659","0.11, p=0.88318","0.21, p=0.18948","0.61, p=0.55244","1.1, p=0.2526","-0.38, p=0.57696","-0.9, p=0.13065"
"HLA-DMA","-0.7, p=0.05998","-0.17, p=0.199",NA,"-0.04, p=0.39567","0, p=0.96769","-0.49, p=0.20147","-0.51, p=0.25656","0.35, p=0.70367","-0.16, p=0.66321","-0.6, p=0.19888","-0.06, p=0.11254","-0.01, p=0.8771","0.12, p=0.31735","-0.07, p=0.88708","0.26, p=0.13989","0.16, p=0.06402","0.08, p=0.36914","0.07, p=0.37095","-0.02, p=0.83882","0.46, p=0.06648","0.29, p=0.4444","0.59, p=0.07728","-0.58, p=0.07801","-0.16, p=0.22551","0.17, p=0.17707","0.42, p=0.07124","-0.01, p=0.93124","0.18, p=0.85776","-0.15, p=0.84352","-1.02, p=0.47446","0.51, p=0.60183","1.38, p=0.25636","-0.97, p=0.36237"
"BACE2","0.97, p=0.06251","-0.56, p=0.00345",NA,"0.05, p=0.05731","0.1, p=0.01952","0.88, p=0.09245","0.24, p=0.38786","-0.27, p=0.19084","-0.27, p=0.23891","-0.21, p=0.26073","0.01, p=0.79357","-0.04, p=0.1509","0.08, p=0.43793","0.11, p=0.32131","0.19, p=0.23212","0, p=0.98907","-0.05, p=0.758","0.11, p=0.51617","-0.02, p=0.92274","0.11, p=0.50781","0.12, p=0.41824","0.1, p=0.79911",NA,"0.23, p=0.30151","0.26, p=0.10011","0.39, p=0.11233","0.24, p=0.29307","0.61, p=0.27655","0.27, p=0.28456","0.63, p=0.20841","0.35, p=0.32108","0.59, p=0.39025","0.17, p=0.15464"
"RAI14","0.3, p=0.06623","-0.16, p=0.533","0.12, p=0.53576","-0.04, p=0.18783","-0.06, p=0.0749","0.17, p=0.28231","-0.36, p=0.19232","-0.06, p=0.71715","-0.21, p=0.39713","-0.07, p=0.76795","0.01, p=0.83439","0, p=0.9738","0.08, p=0.35379","0.09, p=0.31727","0.17, p=0.19359","0, p=0.98076","-0.04, p=0.60754","-0.01, p=0.91744","-0.01, p=0.9105","-0.09, p=0.90243","0.1, p=0.81177","-0.16, p=0.88081","-0.04, p=0.89746","-0.1, p=0.43234","0.22, p=0.33544","0.38, p=0.39055","0.16, p=0.55897","-0.16, p=0.87086","0.41, p=0.541","0.55, p=0.60998","1.62, p=0.08389","-0.86, p=0.5579","-1.1, p=0.27116"
"KLHDC2","-0.12, p=0.06706","0.01, p=0.948","-0.06, p=0.78078","-0.07, p=0.00469","-0.08, p=0.00015","-0.06, p=0.39012","0.08, p=0.554","-0.14, p=0.14152","0.09, p=0.44017","0.07, p=0.59937","-0.1, p=0.07532","-0.03, p=0.01081","0.02, p=0.88737","0.01, p=0.96233","0.02, p=0.89908","-0.04, p=0.76511","-0.45, p=0.00372","-0.36, p=0.00199","-0.51, p=2e-05","-0.11, p=0.32447","-0.11, p=0.50712","-0.12, p=0.47242",NA,"-0.13, p=0.13212","-0.03, p=0.68392","-0.04, p=0.75943","-0.03, p=0.82407","-0.09, p=0.91294","0.13, p=0.8604","0.66, p=0.54204","-0.04, p=0.97136","-0.85, p=0.51419","0.35, p=0.73319"
"SH3BP5","-0.32, p=0.06995","0.33, p=0.177","0.22, p=0.31109","0.02, p=0.18122","0.02, p=0.61605","-0.35, p=0.08083","0.04, p=0.79197","0.1, p=0.53743","-0.12, p=0.3931","-0.25, p=0.13675","0.02, p=0.62186","0.02, p=0.3163","-0.03, p=0.67297","-0.05, p=0.55636","-0.08, p=0.49321","-0.06, p=0.72001","-0.18, p=0.34792","0.01, p=0.82487","-0.02, p=0.7477","0.02, p=0.87335","0.11, p=0.5837","-0.07, p=0.61305","-0.29, p=0.00877","0.22, p=0.02237","0, p=0.90377","-0.01, p=0.84916","-0.03, p=0.80685","0.35, p=0.46563","-0.13, p=0.62884","1.06, p=0.39633","-0.16, p=0.75728","-0.37, p=0.65037","-0.1, p=0.70839"
"LRP10","-0.2, p=0.07109","-0.14, p=0.364","-1.82, p=2e-05","0.11, p=0.00039","0.09, p=0.00691","-0.14, p=0.20205","-0.16, p=0.47562","-0.04, p=0.85158","0.15, p=0.49733","-0.11, p=0.62322","0.05, p=0.22832","0, p=0.9786","0, p=0.98974","0, p=0.96479","0, p=0.98259","0.49, p=0.22062","0.16, p=0.11681","0.06, p=0.51875","0.06, p=0.53024","0.14, p=0.40473","0.32, p=0.17187","0.01, p=0.79758","0, p=0.97435","0.22, p=0.06667","0.12, p=0.38288","0.29, p=0.30867","0.1, p=0.50369","1.04, p=0.27085","0.37, p=0.30974","2.75, p=0.04409","1.09, p=0.25592","-0.35, p=0.36096","-0.53, p=0.18587"
"TM9SF2","-0.13, p=0.07114","-0.5, p=0.0548","-0.49, p=0.0296","-0.06, p=0.00904","-0.07, p=1e-05","-0.08, p=0.26358","0.15, p=0.20764","-0.04, p=0.7321","0.05, p=0.63567","0.08, p=0.48147","-0.07, p=0.27956","0, p=0.7552","-0.08, p=0.5096","-0.1, p=0.44618","-0.18, p=0.33646","-0.41, p=0.00271","-0.27, p=0.05851","-0.23, p=0.03705","-0.43, p=0.00017","-0.05, p=0.61035","-0.16, p=0.26533","0.03, p=0.84785","0.24, p=0.04057","-0.18, p=0.07149","-0.05, p=0.52039","-0.08, p=0.52124","-0.05, p=0.60512","-0.37, p=0.60221","0.78, p=0.306","-1.12, p=0.26155","1.26, p=0.27027","0.39, p=0.71553","0.18, p=0.85665"
"ENOSF1","-0.34, p=0.07211","0.11, p=0.472","-1.78, p=0.01018","0.11, p=0.06437","0.15, p=0.35525","0.02, p=0.93309","-0.56, p=0.12382","0.13, p=0.66498","-0.43, p=0.12004","-0.29, p=0.16893","0.05, p=0.26104","0.02, p=0.4036","0.1, p=0.1362","0.11, p=0.08391","0.21, p=0.03109","0.1, p=0.1242","0.03, p=0.68161","0.04, p=0.63755","0.09, p=0.2749","0.32, p=0.44886","0.19, p=0.61405","-0.28, p=0.20923","-0.24, p=0.34303","0.25, p=0.17125","-0.01, p=0.49144","-0.23, p=0.20269","0.11, p=0.5814","-0.99, p=0.28494","-0.33, p=0.57343","-0.77, p=0.50254","-0.18, p=0.41389","-1.21, p=0.37613","-0.52, p=0.56661"
"ALAS1","-0.14, p=0.07401","0.73, p=5e-05","0, p=0.99455","-0.05, p=0.02315","-0.04, p=0.09488","-0.07, p=0.39158","0.17, p=0.34337","-0.2, p=0.1402","0.06, p=0.76986","-0.14, p=0.51159","-0.06, p=0.14104","-0.01, p=0.2571","0.09, p=0.20777","0.11, p=0.16176","0.2, p=0.07395","-0.67, p=0.02628","-0.28, p=0.37745","-0.29, p=0.08413","-0.28, p=0.10199","-0.09, p=0.54461","-0.17, p=0.40852","-0.03, p=0.89145","-0.14, p=0.46745","-0.12, p=0.24393","-0.02, p=0.81449","-0.14, p=0.27628","0.01, p=0.92841","0.14, p=0.85964","0.24, p=0.74795","0.46, p=0.68837","-0.3, p=0.78565","-0.17, p=0.88026","0.9, p=0.37083"
"ATP6V0B","-0.17, p=0.07531","-0.09, p=0.754","-0.01, p=0.96401","-0.11, p=0.00034","-0.07, p=0.06986","-0.07, p=0.49263","0.18, p=0.31745","-0.08, p=0.49575","-0.02, p=0.917","0.18, p=0.33525","-0.08, p=0.23871","-0.01, p=0.717","-0.26, p=0.18502","-0.28, p=0.2605","-0.55, p=0.07071","-0.14, p=0.08736","0.11, p=0.20821","-0.32, p=0.00012","-0.38, p=1e-05","-0.11, p=0.56617","-0.25, p=0.42178","-0.02, p=0.94136","-0.07, p=0.4762","-0.13, p=0.20952","-0.05, p=0.62692","-0.07, p=0.70479","-0.1, p=0.44028","0.03, p=0.76374","0.45, p=0.50105","-0.24, p=0.68984","0.3, p=0.72772","0.3, p=0.40664","0.62, p=0.54282"
"ST6GALNAC2","0.55, p=0.07592","-1.39, p=0.00814",NA,"0.03, p=0.11303",NA,"0.5, p=0.13537",NA,NA,NA,NA,"-0.03, p=0.4341","0.06, p=0.1931",NA,NA,NA,"0.09, p=0.04651","-0.01, p=0.90114","0.07, p=0.39579","0, p=0.96872","0.15, p=0.86919","-0.73, p=0.62197","0.71, p=0.56071","-0.1, p=0.71268","-0.58, p=0.00408","0.1, p=0.37184","0.09, p=0.60674","0.06, p=0.71335","1.18, p=0.08515","0.79, p=0.23881","-0.01, p=0.99531","1.2, p=0.17143","2.36, p=0.01279","0.27, p=0.79186"
"FZD7","0.56, p=0.07783","0.33, p=0.211","-0.66, p=0.03077","0.03, p=0.34936","0.1, p=0.01848","0.14, p=0.66794","-0.47, p=0.1357","0.19, p=0.46835","0.17, p=0.49904","-0.09, p=0.72597","0.03, p=0.30124","0.05, p=0.1145","0.03, p=0.69527","0.04, p=0.63297","0.06, p=0.55583","0.11, p=0.53441","0.19, p=0.27954","-0.01, p=0.94592","-0.03, p=0.72327","0.24, p=0.20798","0.14, p=0.6507","0.33, p=0.13681","-0.03, p=0.9405","0.32, p=0.05732","0.11, p=0.31644","0.32, p=0.07402","0.03, p=0.81714","0.53, p=0.14785","0.41, p=0.45011","0.39, p=0.32612","0.37, p=0.65564","0.68, p=0.33056","0.46, p=0.29425"
"BAG3","-0.32, p=0.0821","0.02, p=0.886","-1.04, p=0.00265","0.46, p=0","0.25, p=0.00118","-0.05, p=0.79517","-0.46, p=0.25869","0.08, p=0.90499","-0.24, p=0.42096","-0.59, p=0.15172","0.13, p=0.18171","-0.01, p=0.8744","0.04, p=0.69947","0.04, p=0.72516","0.08, p=0.61796","0.53, p=0.01489","0.43, p=0.06018","0.4, p=0.0024","0.32, p=0.01753","0.62, p=0.02305","0.76, p=0.05231","0.53, p=0.1583",NA,"0.41, p=0.07659","0.54, p=0.00611","0.76, p=0.00077","0.5, p=0.10916","0.48, p=0.60355","0.94, p=0.16661","1.21, p=0.31522","1.46, p=0.08768","-0.26, p=0.84054","0.29, p=0.78604"
"NFKBIA","-0.19, p=0.08305","0.12, p=0.522","0.2, p=0.52434","0.08, p=0.03778","0.09, p=0.0416","0.05, p=0.65901","-0.04, p=0.86332","-0.14, p=0.62916","-0.41, p=0.0222","-0.34, p=0.09098","0.09, p=0.24494","-0.02, p=0.4293","-0.13, p=0.14067","-0.15, p=0.10998","-0.28, p=0.03957","-0.34, p=0.24058","0.43, p=0.15834","0.26, p=0.06462","0.08, p=0.57208","0.27, p=0.41222","0.67, p=0.11183","-0.04, p=0.6213","0.32, p=0.06972","0.07, p=0.62368","0.11, p=0.47978","0.21, p=0.3129","0.12, p=0.46129","-0.98, p=0.2309","0.6, p=0.12915","-0.73, p=0.41893","0.84, p=0.30236","-1.24, p=0.29893","0.31, p=0.28515"
"S100A13","-0.32, p=0.08713","0.15, p=0.789","-3.01, p=0.00062",NA,"0.03, p=0.4584","-0.14, p=0.43455","-0.17, p=0.41306","0.16, p=0.42296","0.16, p=0.47517","0, p=0.99162","-0.02, p=0.69552","0.06, p=0.03926",NA,NA,NA,"-0.12, p=0.59875","-0.15, p=0.54703","-0.16, p=0.28088","-0.18, p=0.22554","0.03, p=0.49397","0.21, p=0.40904","-0.1, p=0.59595","-0.04, p=0.84752","0.02, p=0.9298","-0.06, p=0.64609","-0.08, p=0.7127","0.05, p=0.57271","0.09, p=0.76276","-0.34, p=0.11154","-0.03, p=0.62899","-0.13, p=0.17606","0.2, p=0.36308","-0.61, p=0.40881"
"NISCH","-0.09, p=0.0892","0.22, p=0.124","0.02, p=0.94985","0.07, p=3e-05","0.08, p=0.00065","-0.05, p=0.38191","0.26, p=0.06255","-0.15, p=0.18014","0.12, p=0.29762","0.13, p=0.15883","0.07, p=0.39705","0.03, p=0.02864","-0.01, p=0.91561","-0.02, p=0.84246","-0.02, p=0.83573","-0.45, p=0.05756","-0.03, p=0.90036","-0.13, p=0.31618","-0.27, p=0.03599","0.14, p=0.15989","-0.07, p=0.41141","0.38, p=0.08035","0.08, p=0.49889","0.1, p=0.21443","-0.04, p=0.31596","-0.05, p=0.48075","-0.01, p=0.5121","-0.55, p=0.48263","1.02, p=0.15199","-0.34, p=0.74155","1.05, p=0.2509","-0.76, p=0.52373","0.99, p=0.35266"
"DUSP14","-0.2, p=0.08928","0.2, p=0.204","-0.79, p=0.01243","-0.08, p=0.00015","-0.17, p=0.01715","0.06, p=0.60521","0.22, p=0.0672","0.08, p=0.52659","0.03, p=0.82583","-0.04, p=0.78849","-0.03, p=0.53667","-0.03, p=0.1719","0.05, p=0.57018","0.06, p=0.52456","0.11, p=0.41526","-0.01, p=0.98076","-0.22, p=0.41958","-0.05, p=0.60308","0.11, p=0.25213","0.06, p=0.62544","-0.08, p=0.57432","0.16, p=0.37411","0.08, p=0.56429","-0.05, p=0.50566","0.07, p=0.44735","0.01, p=0.92572","0.07, p=0.66122","-0.26, p=0.65811","-0.14, p=0.84964","-0.06, p=0.94649","-0.71, p=0.49048","-0.46, p=0.60621","0.58, p=0.57065"
"HS2ST1","-0.18, p=0.08969","0.04, p=0.815","-0.82, p=0.00221","0.03, p=0.22799","0, p=0.95831","-0.11, p=0.30251","-0.27, p=0.24326","0.43, p=0.09634","0.09, p=0.60508","0.12, p=0.49245","-0.02, p=0.34862","0.01, p=0.6072","0.14, p=0.11942","0.15, p=0.1062","0.29, p=0.0337","0.23, p=0.24629","0.02, p=0.91762","0.03, p=0.84934","-0.53, p=0.00395","0.05, p=0.30026","-0.09, p=0.49039","0.19, p=0.17469","0.1, p=0.53327","0.08, p=0.22273","0.04, p=0.21369","0.02, p=0.34135","0.04, p=0.51266","0.12, p=0.5079","-0.02, p=0.50479","1.04, p=0.20958","0.22, p=0.73713","-0.8, p=0.41364","-0.31, p=0.46494"
"MPZL1","-0.13, p=0.0932","-0.47, p=0.197","-0.47, p=0.18782","-0.01, p=0.57331","-0.02, p=0.28237","0.03, p=0.69304","0.08, p=0.47724","-0.07, p=0.4768","-0.13, p=0.24296","-0.09, p=0.48525","0, p=0.96619","-0.02, p=0.1893","0, p=0.98297","-0.01, p=0.94512","0, p=0.97353","-0.47, p=0.0607","-0.25, p=0.34403","-0.3, p=0.04565","-0.38, p=0.01369","0.15, p=0.34878","0.14, p=0.65568","0.14, p=0.21563","0.39, p=0.18069","0.06, p=0.1826","-0.01, p=0.47703","0.08, p=0.39259","-0.11, p=0.3386","-0.03, p=0.48442","-0.26, p=0.30371","-0.19, p=0.4704","-0.13, p=0.23664","0.12, p=0.47587","-0.43, p=0.6457"
"PRKACA","-0.14, p=0.09394",NA,"-0.06, p=0.77283","-0.02, p=0.17169","0.03, p=0.23316","-0.19, p=0.02186","0.21, p=0.239","-0.09, p=0.62693","-0.06, p=0.67076","-0.24, p=0.12047","0.02, p=0.32841","-0.02, p=0.3619","-0.02, p=0.81992","-0.04, p=0.7095","-0.06, p=0.68336","0.1, p=0.52082","0.46, p=0.00478","-0.09, p=0.68141","-0.01, p=0.95397","-0.09, p=0.60889","-0.4, p=0.26991","0.16, p=0.51545","-0.22, p=0.21032","-0.07, p=0.52866","-0.02, p=0.81989","-0.14, p=0.5697","-0.01, p=0.89219","-0.07, p=0.64195","0.09, p=0.6924","-0.26, p=0.60086","0.03, p=0.57996","0.12, p=0.63092","0.16, p=0.70365"
"CDK19","0.15, p=0.09483","-0.59, p=0.00486","0.48, p=0.07524","0.01, p=0.64627","0.02, p=0.36981","0.09, p=0.29722","-0.19, p=0.30143","-0.17, p=0.18139","-0.08, p=0.59005","-0.19, p=0.19233","0.02, p=0.4677","0, p=0.8622","-0.03, p=0.76674","-0.04, p=0.69299","-0.07, p=0.63904","-0.07, p=0.81109","-0.03, p=0.91294","-0.05, p=0.73177","0.31, p=0.03848","0.03, p=0.74982","0.18, p=0.32243","-0.1, p=0.54977","-0.11, p=0.51205","-0.13, p=0.10278","-0.03, p=0.56711","-0.02, p=0.57131","-0.01, p=0.746","-0.31, p=0.66334","-0.1, p=0.5721","0.42, p=0.48286","0.34, p=0.35336","-1.04, p=0.30621","-0.65, p=0.4414"
"MBOAT7","-0.14, p=0.09578","-0.12, p=0.347","-0.16, p=0.44541","-0.01, p=0.58916","0.04, p=0.14741","-0.12, p=0.1631","0.1, p=0.47619","-0.01, p=0.97047","0.15, p=0.35072","0.44, p=7e-05","0, p=0.98978","0, p=0.8976",NA,NA,NA,"0.2, p=0.27925","0.14, p=0.47474","-0.02, p=0.87443","0.07, p=0.52214","0.07, p=0.66726","-0.38, p=0.14041","0.4, p=0.21645","0.09, p=0.37986","-0.04, p=0.52136","0.04, p=0.49816","-0.08, p=0.39941","0.09, p=0.46248","-0.02, p=0.82707","0.48, p=0.45823","0.08, p=0.77564","0.29, p=0.64148","-0.13, p=0.89856","0.7, p=0.49136"
"LGALS8","-0.24, p=0.09595","0.25, p=0.289","1.82, p=0.01463","-0.03, p=0.25556","-0.01, p=0.56167","-0.19, p=0.18087","0.05, p=0.67262","-0.32, p=0.01135","0.06, p=0.62198","0.14, p=0.23526","-0.01, p=0.46437","0.01, p=0.5256","0.01, p=0.85855","0.01, p=0.89221","0.02, p=0.83217","-0.17, p=0.4922","-0.16, p=0.53917","-0.1, p=0.3553","-0.13, p=0.22402","0.08, p=0.40092","-0.05, p=0.48167","0.17, p=0.36509","-0.02, p=0.86597","0.02, p=0.43542","0.05, p=0.26999","-0.05, p=0.36918","0.1, p=0.31796","-0.37, p=0.49484","-0.35, p=0.53893","-0.08, p=0.6968","-0.28, p=0.54365","-0.65, p=0.4817","-0.45, p=0.60249"
"RALGDS","-0.11, p=0.0969","-0.13, p=0.6","0.28, p=0.15046","0.08, p=0.00152","0.1, p=0.05028","-0.12, p=0.06904","-0.6, p=0.03944","-0.29, p=0.21304","0.04, p=0.84389","-0.44, p=0.02368","0.05, p=0.19634","-0.01, p=0.5248",NA,NA,NA,"0.12, p=0.70657","0.11, p=0.75687","0.18, p=0.51191","0.17, p=0.55785","0.1, p=0.5098","0.19, p=0.30914","0.03, p=0.89239","-0.59, p=0.07371","0.01, p=0.90082","0.07, p=0.47792","0.19, p=0.24048","0.06, p=0.65373","-0.03, p=0.52833","-0.45, p=0.42884","-1.07, p=0.29553","-0.59, p=0.37766","1.01, p=0.10405","-0.27, p=0.78807"
"RASA1","0.11, p=0.09831","0.65, p=6e-04","-0.03, p=0.86442","-0.03, p=0.13647","0.01, p=0.39932","0.03, p=0.60214","0.23, p=0.11807","-0.1, p=0.36221","0.01, p=0.93767","-0.03, p=0.78136","0.01, p=0.9068","0, p=0.8886","0.06, p=0.67122","0.06, p=0.6794","0.13, p=0.57095","0.31, p=0.0099","0.17, p=0.16656","0.11, p=0.1934","0.13, p=0.13723","0, p=0.85935","-0.09, p=0.61405","0.06, p=0.68614","-0.02, p=0.86838","0.09, p=0.34025","-0.02, p=0.84297","-0.06, p=0.68697","0.02, p=0.86576","-0.07, p=0.79756","-0.97, p=0.19236","-0.38, p=0.52563","-1.13, p=0.2451","0.24, p=0.3415","-0.77, p=0.46281"
"CSNK1A1","-0.08, p=0.09832","0.02, p=0.92","-0.29, p=0.20003",NA,"-0.01, p=0.39162","-0.06, p=0.22698","-0.33, p=0.03171","0.07, p=0.53925","0.38, p=0.01273","0.12, p=0.46346","0, p=0.99228","0, p=0.6612",NA,NA,NA,"0.13, p=0.06699","-0.11, p=0.13039","-0.08, p=0.19274","-0.09, p=0.16374","0.1, p=0.38708","0.01, p=0.29329","0.16, p=0.53067","0.07, p=0.66286","0.01, p=0.15037","0.09, p=0.28771","0.13, p=0.32683","0.09, p=0.43881","0.06, p=0.5314","-0.25, p=0.32905","0.22, p=0.37215","0.16, p=0.55548","-0.11, p=0.40512","-0.77, p=0.23086"
"NOLC1","-0.11, p=0.099","-0.12, p=0.439","0.2, p=0.29652","-0.02, p=0.20331","0.03, p=0.06961","0, p=0.99566","0.31, p=0.00771","0.29, p=0.52171","-0.33, p=0.0084","-0.16, p=0.22986","-0.03, p=0.38522","0, p=0.8882","0.01, p=0.93847","-0.01, p=0.96137","0, p=0.98559","-0.32, p=0.02432","-0.17, p=0.2372","-0.34, p=0.01656","-0.36, p=0.01277","-0.04, p=0.72626","-0.12, p=0.44439","0.02, p=0.89021","0.08, p=0.61905","-0.18, p=0.05566","-0.02, p=0.79457","-0.09, p=0.48634","-0.01, p=0.77923","0.3, p=0.56697","0.24, p=0.30589","0.66, p=0.45417","0.03, p=0.49379","-0.07, p=0.89969","0.51, p=0.35157"
